Query,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
汤圆,芝麻汤圆,花生汤圆,大黄米汤圆,桂花汤圆,
lego,LEGO Star Wars,LEGO Technic,LEGO City,LEGO Creator,
iphone 17 pro max,256GB,512GB,2TB,Accessories,
水,矿泉水,气泡水,汤力水,风味水,
饮料,零糖汽水 ,能量饮料,果汁,碳酸饮料,
饺子,猪肉,牛肉,虾,豆腐 蔬菜,
rice,Jasmine Rice,Basmati Rice,Long Grain Rice,Brown Rice,
方便面,方便面,桶装方便面,袋装方便面,牛肉方便面,海鲜方便面
beef,Ribeye Steak,Ground Beef,Beef Brisket,Beef Slices,
coffee,Instant Coffee,Coffee Beans,Ground Coffee,Nespresso Pods,
beer,Lager,Craft Beer,IPA,Alcohol-Free,
iphone,iPhone 17 Pro Max,iPhone Air,iPhone 17 Pro,iPhone 17,accessories
washing machine,washer dryer,washer 6kg,washer 7kg,washer 8kg,
xiaomi,Xiaomi 14,Xiaomi Watch,Xiaomi Air Purifier,Xiaomi Vacuum
dji,DJI Mini 4 Pro,DJI Pocket 3,DJI Osmo,DJI Mavic
pokemon,Pokemon Cards,Pokemon Figures,Pokemon Plush,Pokemon Games
火锅,麻辣火锅底料,番茄火锅底料,清汤火锅底料,菌菇火锅底料
洗衣机,滚筒洗衣机,波轮洗衣机,8kg洗衣机,10kg洗衣机
空气炸锅,3L空气炸锅,5L空气炸锅,智能空气炸锅,多功能空气炸锅
老干妈,老干妈豆豉,老干妈辣椒油,老干妈蒜蓉酱,老干妈剁椒
tv,55 Inch Smart TV,65 Inch OLED TV,4K TV,QLED TV
air fryer,Compact,Family Size,oil free,Dual zone
大米,东北大米,五常大米,泰国香米,泰国糯米
nike shoes,Nike Air Force 1,Nike Dunk Low,Nike React,Nike Running Shoes
toothpaste,Whitening Toothpaste,Sensitive Toothpaste,Kids Toothpaste,Fluoride Toothpaste
洗发水,去屑洗发水,滋润洗发水,控油洗发水,染发洗发水
samsung tv,Samsung QLED,Samsung Crystal UHD,Samsung Frame,Samsung OLED
airpods,AirPods Pro 2,AirPods 4,AirPods Max,AirPods Case
ninja air fryer,Ninja 3.8L,Ninja 6L,Ninja Foodi,Ninja Dual Zone
ps5 slim,PS5 Slim 1TB,PS5 Digital Edition,PS5 Controller,PS5 Stand
instant noodles,Chicken Instant Noodles,Beef Instant Noodles,Seafood Instant Noodles,Veggie Instant Noodles
karcher pressure washer,Karcher K2,Karcher K3,Karcher K4,Karcher K5
dyson vacuum,Dyson V15,Dyson V12,Dyson V11,Dyson Animal
lenovo legion,Lenovo Legion 5,Lenovo Legion 7,Lenovo Legion Pro,Lenovo Legion Slim
philips soniccare,Philips Sonicare 4100,Philips Sonicare 5100,Philips Sonicare DiamondClean,Philips Sonicare ProtectiveClean
gopro,GoPro Hero 13,GoPro Hero 12,GoPro Hero 11,GoPro Max
anker charger,Anker 65W Charger,Anker Nano Charger,Anker MagSafe,Anker Power Bank
nintendo switch,Switch OLED,Switch Lite,Switch Joy-Con,Switch Games
ring doorbell,Ring Battery,Ring Spotlight Cam,Ring Chime,Ring Protect Plan
stanley cup,Stanley Quencher 40oz,Stanley IceFlow,Stanley Go,Stanley Classic
jbl speaker,JBL Charge 5,JBL Flip 6,JBL Go 3,JBL Clip 4
yeti cooler,Yeti Roadie 24,Yeti Tundra 45,Yeti Hopper Flip,Yeti Rambler
